subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song;;
29;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;2;1;5;1;2;Outkast;;0;Ms. Jackson;;0;;
30;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;8;8;3;10;Eminem;Eminem;1;The way I am;The way i am;1;;
30;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;8;2;6;Post Malone;Post Malone;1;WoW;wow;1;;
30;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;7;7;3;6;Nicki Minaj (feat. Rihanna);Rihanna & Nicki;1;Fly;Fly;1;;
30;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;3;5;1;8;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1;;
30;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;9;9;7;9;Iggy Azalea (ft. Charli XCX);Iggy Azelea;1;Fancy;Fancy;1;;
30;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;4;10;Outkast;Outkast;1;Ms. Jackson;Ms.Jackson;1;;
31;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;8;8;1;4;Eminem;Eminem;1;The way I am;the way I am;1;;
31;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;7;7;7;1;2;Post Malone;;0;WoW;;0;;
31;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;6;5;5;1;1;Nicki Minaj (feat. Rihanna);;0;Fly;;0;;
