"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool","log_duration"
2,2,3,"A",28,"from","response",388.2440000106,"lyrical","University pool",5.96163400797661
2,2,3,"A",29,"clear","response",364.285999999847,"lyrical","University pool",5.89793927341016
2,2,3,"A",30,"that","response",484.906999995117,"lyrical","University pool",6.18395711996322
2,2,3,"A",31,"the","response",328.965999988839,"lyrical","University pool",5.7959544019261
2,2,3,"A",32,"law","response",338.930000012973,"lyrical","University pool",5.82579359642128
2,2,3,"A",33,"can","response",404.873000021558,"lyrical","University pool",6.00357343773631
2,2,3,"A",34,"even","response",332.166999992973,"lyrical","University pool",5.80563785447537
2,2,3,"A",35,"be","response",334.298000004317,"lyrical","University pool",5.81203281077076
2,2,3,"A",36,"credited","response",456.287000028882,"lyrical","University pool",6.12312199756232
2,2,3,"A",37,"with","response",357.600999994029,"lyrical","University pool",5.87941783969933
2,2,3,"A",38,"a","response",367.027999983344,"lyrical","University pool",5.90543813937686
2,2,3,"A",39,"reduction","response",431.539000018616,"lyrical","University pool",6.0673578888694
2,2,3,"A",40,"in","response",349.580000023998,"lyrical","University pool",5.85673243397559
2,2,3,"A",41,"crime","response",310.915000017034,"lyrical","University pool",5.73951956298041
2,2,3,"A",42,"in","response",369.616000000446,"lyrical","University pool",5.91246462887504
2,2,3,"A",43,"California.","response",650.268999983615,"lyrical","University pool",6.47738612340763
2,2,3,"A",44,"While","response",471.579000002355,"lyrical","University pool",6.15608663841467
2,2,3,"A",45,"it's","response",340.225999982154,"lyrical","University pool",5.829610102621
2,2,3,"A",46,"true","response",246.181000000623,"lyrical","University pool",5.50606703774483
2,2,3,"A",47,"that","response",299.633999998798,"lyrical","University pool",5.70256172984635
2,2,3,"A",48,"crime","response",318.932000015688,"lyrical","University pool",5.7649779139667
2,2,3,"A",49,"declined","response",441.562000005506,"lyrical","University pool",6.09031844054814
2,2,3,"A",50,"in","response",367.867999997688,"lyrical","University pool",5.9077241781638
2,2,3,"A",51,"California","response",360.182999986282,"lyrical","University pool",5.88661223558778
2,2,3,"A",52,"last","response",409.584999999264,"lyrical","University pool",6.01514445195918
2,2,3,"A",53,"year,","response",328.893999975873,"lyrical","University pool",5.79573551032832
2,2,3,"A",54,"crime","response",418.882000020647,"lyrical","University pool",6.03758925739655
