"","subject","item","sound","reading_time_minutes","number_of_words","wpm","Experiment"
"42",3,3,"instrumental",0.409200000000021,56,136.852394916904,"Experiment 1a"
"43",3,12,"instrumental",0.455316666666684,61,133.972692997542,"Experiment 1a"
"44",3,6,"instrumental",0.355250000000013,52,146.375791695983,"Experiment 1a"
"45",3,15,"instrumental",0.325500000000021,45,138.248847926258,"Experiment 1a"
"46",4,13,"silence",0.30625613332928,53,173.057758627859,"Experiment 1a"
"47",4,1,"silence",0.343082616661521,58,169.055490378347,"Experiment 1a"
"48",4,10,"silence",0.260790983328273,49,187.889931525435,"Experiment 1a"
"49",4,4,"silence",0.261273433324403,53,202.852618138921,"Experiment 1a"
"50",4,7,"silence",0.294973133325101,52,176.287241532228,"Experiment 1a"
"51",4,14,"lyrical",0.331873149995378,50,150.65997354922,"Experiment 1a"
"52",4,2,"lyrical",0.347843299992017,57,163.86689064101,"Experiment 1a"
"53",4,5,"lyrical",0.276564166661206,52,188.021465787723,"Experiment 1a"
"54",4,8,"lyrical",0.273617483331413,50,182.736860931649,"Experiment 1a"
"55",4,11,"lyrical",0.28379831666186,53,186.752340970184,"Experiment 1a"
"56",4,15,"instrumental",0.246502766663622,45,182.553731988765,"Experiment 1a"
"57",4,3,"instrumental",0.323543533332485,56,173.083354265197,"Experiment 1a"
"58",4,9,"instrumental",0.246649516659317,45,182.44511730447,"Experiment 1a"
"59",4,12,"instrumental",0.316617099994258,61,192.661735582526,"Experiment 1a"
"60",4,6,"instrumental",0.294182266663304,52,176.761164395795,"Experiment 1a"
"61",5,4,"silence",0.384685450000019,53,137.774901546179,"Experiment 1a"
